"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Alex Tan",9,391,9,20,"N",1,"Win","N","Yong Jian Rong",379,12,2,1,1,1,0,3,"Y",2,4,8,2,160
"Hubert Wee",10,392,11,1,"N",0,"Lose","N","Nigel Richards",414,-22,1,0,1,1,0,2,"N",0,6,5,2,122
"Marlon Prudencio",10,362,12,2,"N",0,"Lose","N","Aaron Chong",481,-119,0,1,1,0,0,1,"N",2,25,3,0,0
"Wong Zhi Yuan",10,502,13,3,"N",1,"Win","N","Vannitha Balasingam",383,119,0,1,1,1,0,3,"N",11,42,6,2,156
"Victor Gwee",10,330,14,4,"N",0,"Lose","N","Yeo Kian Hung",542,-212,0,0,1,1,0,3,"N",5,19,5,0,0
"Tony Sim",10,371,15,5,"N",0,"Lose","N","William Kang",502,-131,1,0,0,0,0,2,"Y",4,15,3,2,144
"Ricky Purnomo",10,432,16,6,"N",1,"Win","N","Martin Teo",395,37,2,1,1,0,0,1,"N",0,2,5,2,167
"Victor Chua",10,453,17,7,"N",1,"Win","N","Vinnith Ramamurti",387,66,2,1,1,1,0,4,"N",5,46,9,3,236
"Michael Tang",10,325,18,8,"N",0,"Lose","N","Jocelyn Lor",385,-60,1,0,0,1,1,3,"N",2,24,6,0,0
"Yong Jian Rong",10,449,19,9,"N",1,"Win","N","Tan Jin Chor",407,42,2,0,1,1,1,2,"N",15,9,7,2,148
"Shim Yen Nee",10,388,20,10,"N",0,"Lose","N","Alex Tan",448,-60,1,1,1,0,0,2,"N",7,17,5,1,70
"Nigel Richards",10,414,1,11,"N",1,"Win","Y","Hubert Wee",392,22,1,1,0,0,1,2,"N",2,16,5,1,68
"Aaron Chong",10,481,2,12,"N",1,"Win","Y","Marlon Prudencio",362,119,2,0,0,1,1,3,"N",6,10,7,3,221
"Vannitha Balasingam",10,383,3,13,"N",0,"Lose","Y","Wong Zhi Yuan",502,-119,2,0,0,0,1,1,"Y",1,25,4,2,133
"Yeo Kian Hung",10,542,4,14,"N",1,"Win","Y","Victor Gwee",330,212,2,1,0,0,1,1,"N",10,26,5,4,310
"William Kang",10,502,5,15,"N",1,"Win","Y","Tony Sim",371,131,1,1,1,1,1,2,"N",13,58,7,2,172
"Martin Teo",10,395,6,16,"N",0,"Lose","Y","Ricky Purnomo",432,-37,0,0,0,1,1,3,"N",9,22,5,2,140
"Vinnith Ramamurti",10,387,7,17,"N",0,"Lose","Y","Victor Chua",453,-66,0,0,0,0,1,0,"N",9,4,1,2,127
"Jocelyn Lor",10,385,8,18,"N",1,"Win","Y","Michael Tang",325,60,1,1,1,0,0,1,"N",13,1,4,2,131
"Tan Jin Chor",10,407,9,19,"N",0,"Lose","Y","Yong Jian Rong",449,-42,0,1,0,0,0,2,"N",1,47,3,2,177
"Alex Tan",10,448,10,20,"N",1,"Win","Y","Shim Yen Nee",388,60,1,0,0,1,1,2,"N",7,48,5,3,223
"Hubert Wee",11,481,19,1,"N",1,"Win","N","Tan Jin Chor",391,90,2,0,0,0,0,2,"",NA,NA,4,3,224
"Marlon Prudencio",11,513,13,2,"N",1,"Win","N","Vannitha Balasingam",387,126,2,1,1,1,1,1,"N",13,43,7,3,287
"Wong Zhi Yuan",11,474,12,3,"N",1,"Win","N","Aaron Chong",331,143,2,0,1,0,0,3,"N",12,22,6,3,211
